Tanggal,Periode,Inflasi_YoY,Year,Month,Quarter,Inflasi_Lag_1,Inflasi_Lag_2,Inflasi_Lag_3,Inflasi_Lag_6,Inflasi_Lag_12,Inflasi_RollMean_3,Inflasi_RollMean_6,Inflasi_RollMean_12,Inflasi_RollStd_3,Inflasi_RollStd_6,Inflasi_RollStd_12,Inflasi_Diff_1,Inflasi_Diff_12
2002-12-01,Desember 2002,0.0,2002,12,4,,,,,,,,,,,,,
2003-01-01,Januari 2003,8.68,2003,1,1,0.0,,,,,,,,,,,,
2003-02-01,Februari 2003,7.6,2003,2,1,8.68,0.0,,,,,,,,,,8.68,
2003-03-01,Maret 2003,7.17,2003,3,1,7.6,8.68,0.0,,,5.426666666666667,,,4.730553174136544,,,-1.08,
2003-04-01,April 2003,7.62,2003,4,2,7.17,7.6,8.68,,,7.816666666666666,,,0.7779674371934402,,,-0.4299999999999997,
2003-05-01,Mei 2003,7.15,2003,5,2,7.62,7.17,7.6,,,7.463333333333334,,,0.2542308662089056,,,0.4500000000000002,
2003-06-01,Juni 2003,6.98,2003,6,2,7.15,7.62,7.17,0.0,,7.3133333333333335,6.37,,0.2657693235370312,3.1697570884848574,,-0.46999999999999975,
2003-07-01,Juli 2003,6.27,2003,7,3,6.98,7.15,7.62,8.68,,7.25,7.533333333333334,,0.3315116890850129,0.618374212485182,,-0.16999999999999993,
2003-08-01,Agustus 2003,6.51,2003,8,3,6.27,6.98,7.15,7.6,,6.8,7.131666666666667,,0.46679760067935433,0.49499158242001395,,-0.7100000000000009,
2003-09-01,September 2003,6.33,2003,9,3,6.51,6.27,6.98,7.17,,6.586666666666667,6.949999999999999,,0.36115555282085404,0.48871259447655224,,0.2400000000000002,
2003-10-01,Oktober 2003,6.48,2003,10,4,6.33,6.51,6.27,7.62,,6.37,6.810000000000001,,0.12489995996798513,0.5315261047211164,,-0.17999999999999972,
2003-11-01,November 2003,5.53,2003,11,4,6.48,6.33,6.51,7.15,,6.44,6.62,,0.09643650760994929,0.3602221536774263,,0.15000000000000036,
2003-12-01,Desember 2003,5.16,2003,12,4,5.53,6.48,6.33,6.98,0.0,6.113333333333333,6.3500000000000005,6.359999999999999,0.5107184482014908,0.47299048616225237,2.1607364064554053,-0.9500000000000002,
2004-01-01,Januari 2004,4.82,2004,1,1,5.16,5.53,6.48,6.27,8.68,5.723333333333334,6.046666666666667,6.79,0.6809062588443,0.5631577635677871,0.9595548210214229,-0.3700000000000001,5.16
2004-02-01,Februari 2004,4.6,2004,2,1,4.82,5.16,5.53,6.51,7.6,5.170000000000001,5.805,6.468333333333334,0.35510561809130803,0.7335052828712321,0.9142988703057792,-0.33999999999999986,-3.8599999999999994
2004-03-01,Maret 2004,5.11,2004,3,1,4.6,4.82,5.16,6.33,7.17,4.86,5.486666666666667,6.218333333333334,0.28213471959333764,0.7793758186309574,0.9842101894258649,-0.22000000000000064,-3.0
2004-04-01,April 2004,5.92,2004,4,2,5.11,4.6,4.82,6.48,7.62,4.843333333333334,5.283333333333334,6.046666666666667,0.25579940057268447,0.6662932287414275,0.9827820745519352,0.5100000000000007,-2.0599999999999996
2004-05-01,Mei 2004,6.47,2004,5,2,5.92,5.11,4.6,5.53,7.15,5.21,5.19,5.905000000000001,0.665657569625712,0.4776609676329119,0.8487584515578671,0.8099999999999996,-1.7000000000000002
2004-06-01,Juni 2004,6.83,2004,6,2,6.47,5.92,5.11,5.16,6.98,5.833333333333333,5.346666666666667,5.848333333333334,0.684129617348452,0.7094129028053233,0.7778155113501972,0.5499999999999998,-0.6800000000000006
2004-07-01,Juli 2004,7.2,2004,7,3,6.83,6.47,5.92,4.82,6.27,6.406666666666666,5.625,5.835833333333333,0.45829393770083554,0.9183626734575,0.7589521284859357,0.3600000000000003,-0.15000000000000036
2004-08-01,Agustus 2004,6.67,2004,8,3,7.2,6.83,6.47,4.6,6.51,6.833333333333333,6.021666666666667,5.913333333333334,0.36501141534661014,1.0104932788824827,0.8494097772553413,0.3700000000000001,0.9300000000000006
2004-09-01,September 2004,6.27,2004,9,3,6.67,7.2,6.83,5.11,6.33,6.8999999999999995,6.366666666666666,5.926666666666666,0.271845544381367,0.7470653697412757,0.8608065280815879,-0.5300000000000002,0.16000000000000014
2004-10-01,Oktober 2004,6.22,2004,10,4,6.27,6.67,7.2,5.92,6.48,6.713333333333334,6.56,5.921666666666667,0.46651187909134334,0.44640788523501845,0.8584217371361688,-0.40000000000000036,-0.0600000000000005
2004-11-01,November 2004,6.18,2004,11,4,6.22,6.27,6.67,6.47,5.53,6.386666666666667,6.609999999999999,5.8999999999999995,0.24664414311582106,0.3707829553795605,0.8462430340790237,-0.04999999999999982,-0.2600000000000007
2004-12-01,Desember 2004,6.4,2004,12,4,6.18,6.22,6.27,6.83,5.16,6.223333333333333,6.5616666666666665,5.954166666666667,0.045092497528287,0.4095566708853222,0.8411945870803805,-0.040000000000000036,0.6499999999999995
2005-01-01,Januari 2005,7.32,2005,1,1,6.4,6.18,6.22,7.2,4.82,6.266666666666666,6.489999999999999,6.0575,0.11718930554166805,0.3903844259188651,0.8103660788916205,0.22000000000000064,1.2400000000000002
2005-02-01,Februari 2005,7.15,2005,2,1,7.32,6.4,6.18,6.67,4.6,6.633333333333333,6.510000000000001,6.265833333333333,0.6047589051294213,0.4346032673600162,0.7842362623288422,0.9199999999999999,2.5
2005-03-01,Maret 2005,8.81,2005,3,1,7.15,7.32,6.4,6.27,5.11,6.956666666666667,6.59,6.478333333333333,0.489523577913602,0.507937003968013,0.6201295074906555,-0.16999999999999993,2.5500000000000007
2005-04-01,April 2005,8.12,2005,4,2,8.81,7.15,7.32,6.22,5.92,7.760000000000001,7.0133333333333345,6.786666666666666,0.9132907532653535,1.0040650709324896,0.7777395372994641,1.6600000000000001,3.7
2005-05-01,Mei 2005,7.4,2005,5,2,8.12,8.81,7.15,6.18,6.47,8.026666666666666,7.329999999999999,6.969999999999999,0.8339264555902565,1.003434103466688,0.8133544458263267,-0.6900000000000013,2.1999999999999993
2005-06-01,Juni 2005,7.42,2005,6,2,7.4,8.12,8.81,6.4,6.83,8.110000000000001,7.533333333333332,7.047499999999999,0.705053189482889,0.8329145614447266,0.8056519099462225,-0.7199999999999989,0.9300000000000006
2005-07-01,Juli 2005,7.84,2005,7,3,7.42,7.4,8.12,7.32,7.2,7.646666666666666,7.703333333333333,7.096666666666667,0.41004064839151183,0.6361970344686153,0.809167173797548,0.019999999999999574,0.5899999999999999
2005-08-01,Agustus 2005,8.33,2005,8,3,7.84,7.42,7.4,7.15,6.67,7.553333333333334,7.789999999999999,7.1499999999999995,0.2484619353811215,0.6083420090705502,0.8372031359885646,0.41999999999999993,0.6399999999999997
2005-09-01,September 2005,9.06,2005,9,3,8.33,7.84,7.42,8.81,6.27,7.863333333333333,7.986666666666667,7.288333333333334,0.45544849690533734,0.5477834121864763,0.8863801086270454,0.4900000000000002,1.6600000000000001
2005-10-01,Oktober 2005,17.89,2005,10,4,9.06,8.33,7.84,8.12,6.22,8.410000000000002,8.028333333333334,7.520833333333333,0.6139218191268292,0.6267508808662807,0.9580041595405342,0.7300000000000004,2.790000000000001
2005-11-01,November 2005,18.38,2005,11,4,17.89,9.06,8.33,7.4,6.18,11.76,9.656666666666666,8.493333333333334,5.321268645727255,4.081649993160444,3.08329615047195,8.83,11.670000000000002
2005-12-01,Desember 2005,17.11,2005,12,4,18.38,17.89,9.06,7.42,6.4,15.11,11.486666666666666,9.51,5.245178738613197,5.180925271287614,4.096175599929102,0.48999999999999844,12.2
2006-01-01,Januari 2006,17.03,2006,1,1,17.11,18.38,17.89,7.84,7.32,17.793333333333333,13.101666666666667,10.4025,0.6404946005496411,5.17000354609807,4.503477696584757,-1.2699999999999996,10.709999999999999
2006-02-01,Februari 2006,17.92,2006,2,1,17.03,17.11,18.38,8.33,7.15,17.506666666666664,14.633333333333333,11.211666666666668,0.757385854986246,4.632824912153125,4.764064027760966,-0.0799999999999983,9.71
2006-03-01,Maret 2006,15.74,2006,3,1,17.92,17.03,17.11,9.06,8.81,17.353333333333335,16.231666666666666,12.109166666666667,0.4923751956925236,3.551266910085272,4.940536331454736,0.8900000000000006,10.770000000000001
