age,exposure_male,dx_male,expectedlife_male,qx_male,px_male,exposure_female,dx_female,expectedlife_female,qx_female,px_female
0,7044346.0,100111.0,73.74,0.009791,0.990209,6335621.0,70861.0,78.37,0.00788,0.99212
1,7306875.0,11879.0,73.47,0.002526,0.997474,6503947.0,9232.0,77.99,0.002096,0.997904
2,7871143.0,7073.0,72.65,0.001079,0.998921,6943574.0,5051.0,77.15,0.0009,0.9991
3,8419927.0,6121.0,71.73,0.000701,0.999299,7372649.0,4438.0,76.22,0.00058,0.99942
4,8911682.0,6551.0,70.78,0.000598,0.999402,7769484.0,4551.0,75.27,0.000489,0.999511
5,9358986.0,5690.0,69.82,0.000578,0.999422,8163646.0,4153.0,74.3,0.00047,0.99953
6,9846267.0,5614.0,68.86,0.000575,0.999425,8614486.0,3993.0,73.34,0.000469,0.999531
7,10243673.0,5607.0,67.9,0.000566,0.999434,9002949.0,4055.0,72.37,0.000465,0.999535
8,10579001.0,6020.0,66.94,0.000547,0.999453,9345116.0,4500.0,71.41,0.000454,0.999546
9,10841681.0,5458.0,65.98,0.000523,0.999477,9629332.0,4080.0,70.44,0.00044,0.99956
10,11022771.0,5512.0,65.01,0.000507,0.999493,9831646.0,3975.0,69.47,0.000432,0.999568
11,11133314.0,5421.0,64.05,0.000504,0.999496,9971783.0,4320.0,68.5,0.000437,0.999563
12,11173337.0,6047.0,63.08,0.000517,0.999483,10038357.0,4795.0,67.53,0.000452,0.999548
13,11172614.0,5995.0,62.11,0.000543,0.999457,10066901.0,4752.0,66.56,0.000473,0.999527
14,11214073.0,6286.0,61.14,0.000578,0.999422,10149158.0,4975.0,65.59,0.000498,0.999502
15,11302882.0,7123.0,60.18,0.00062,0.99938,10289114.0,5380.0,64.63,0.000527,0.999473
16,11283282.0,7962.0,59.22,0.000661,0.999339,10341629.0,6057.0,63.66,0.000558,0.999442
17,11419933.0,7705.0,58.26,0.000697,0.999303,10546582.0,6028.0,62.7,0.00059,0.99941
